SDR5ID,ra_deg,dec_deg,z,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf,mu,npts
301.0,2.169302,1.2386490000000001,1.073,-23.901,0.0,1.32609,1.62744,-0.488209,1.33657,2.16182,-0.71454,-0.382822,0.0,115.143,109.135,110.587,20.1954,59.0
144.0,1.091028,0.962126,0.7867,-23.399,0.0,1.30827,3.24838,-0.892163,2.97715,4.60693,-0.997246,-0.815381,0.0,122.323,75.9452,122.219,19.8266,52.0
58.0,0.331289,0.17723,1.6199,-24.735,0.0,1.06687,2.57323,-1.04546,2.35509,4.37691,-1.28033,-0.95431,0.0,134.752,117.267,134.004,20.0998,55.0
190.0,1.364696,-0.098956,0.6125,-23.121,0.0,0.879721,2.83312,-0.713711,2.71156,4.49372,-0.80911,-0.674618,0.0,153.557,91.6947,153.025,19.2653,59.0
36.0,0.221552,-0.292485,2.7563,-26.451,9.361,1.39829,2.40628,-1.1308,2.10397,4.23205,-1.37723,-1.01571,0.0,142.099,131.18,141.114,19.6907,55.0
49.0,0.28137,0.686984,1.3988,-24.917,8.817,0.995136,2.3452,-0.786541,2.17272,3.87611,-0.924976,-0.735595,0.0,158.89,106.493,156.931,19.6327,62.0
370.0,2.607954,0.913245,2.8473,-27.263,0.0,1.74825,3.62515,-1.30011,2.91118,4.61219,-1.43565,-1.07668,0.0,155.684,126.687,155.653,18.7999,56.0
229.0,1.669492,0.643952,1.3383,-24.427,8.666,0.97719,2.35934,-0.67894,2.20721,4.08759,-0.816304,-0.633602,0.0,137.735,88.393,136.153,20.0591,61.0
699.0,4.850273,-0.276395,1.769,-25.251,0.0,0.974148,3.23933,-1.00537,3.02755,4.59996,-1.13076,-0.913109,0.0,134.018,92.4735,133.793,19.8845,55.0
578.0,4.026021,0.478127,1.8725,-24.999,0.0,1.19233,5.0,-1.0,3.0716,4.66213,-1.1157,-0.856577,1.0,110.225,90.614,110.232,20.215,53.0
237.0,1.725449,-0.259281,1.7252,-27.19,9.591,1.05353,-2.55,1.48835,-2.32856,0.089573,0.020709,1.22466,0.0,129.405,126.185,109.196,17.8463,52.0
13.0,0.068467,-0.309283,0.7026,-25.151,8.664,1.22283,2.34153,-0.777769,2.18854,4.21877,-0.95241,-0.748863,0.0,159.723,133.226,158.414,17.8107,56.0
83.0,0.537709,0.098021,2.1463,-24.691,0.0,1.14788,3.73697,-0.61391,3.04379,4.63523,-0.715595,-0.524647,0.0,86.3231,54.2314,86.3144,20.8196,53.0
564.0,3.926662,0.263132,2.4301,-25.568,9.21,1.27262,2.83936,-0.724173,2.64359,4.5043,-0.866534,-0.652358,0.0,133.747,106.11,133.376,20.0444,62.0
579.0,4.0462,-0.253447,1.5766,-25.497,8.885,1.02061,0.853804,0.109332,0.584647,1.01227,0.012874,0.186695,0.0,84.5006,79.2957,68.4351,19.4607,52.0
556.0,3.865938,-0.590953,1.0488,-24.352,8.374,1.25057,2.11009,-0.644812,1.96929,3.92477,-0.90096,-0.614587,0.0,151.098,107.616,149.124,19.5593,62.0
565.0,3.932215,-0.44671,1.3006,-24.383,8.415,1.17686,2.85664,-0.753172,2.70385,4.49707,-0.883865,-0.688459,0.0,133.103,84.498,132.628,20.2039,59.0
574.0,4.010978,-0.34321,2.2491,-26.295,0.0,1.40325,5.0,-1.65,3.26308,4.6896,-1.76147,-1.43687,1.0,150.423,141.381,150.427,19.3755,53.0
349.0,2.521021,0.861517,1.6711,-25.144,8.549,1.58954,2.28724,-0.957295,1.91462,4.15331,-1.21687,-0.816589,0.0,110.088,102.294,109.102,19.7771,50.0
555.0,3.860528,0.303667,1.362,-24.985,8.593,0.984731,2.32037,-1.12932,2.12334,4.10736,-1.33731,-1.06084,0.0,178.973,157.742,177.522,19.4735,61.0
676.0,4.674216,-1.142395,0.782,-22.752,0.0,1.42071,1.68683,-0.213538,1.55373,3.91953,-0.706118,-0.186922,0.0,74.7551,66.593,72.8642,20.4012,52.0
680.0,4.726053,-1.033959,1.9323,-25.562,0.0,1.01816,2.71285,-0.885743,2.50322,4.4398,-1.03678,-0.812571,0.0,147.077,112.349,146.524,19.9738,62.0
158.0,1.175791,0.006482,1.0077,-24.719,9.189,1.16596,2.31499,-0.708456,2.13225,3.58988,-0.828611,-0.661721,0.0,164.736,101.586,162.346,19.0575,63.0
621.0,4.337229,-0.207058,1.3097,-24.961,8.476,1.23506,3.23459,-0.851853,3.03117,4.59902,-0.955385,-0.792672,0.0,305.505,157.877,305.278,19.4066,110.0
667.0,4.600524,-1.002214,1.8665,-25.253,0.0,0.956065,5.0,-1.025,3.46955,4.73627,-1.11845,-0.938948,1.0,154.219,98.2948,154.229,19.8759,60.0
519.0,3.612357,-0.051877,1.177,-25.253,8.737,1.26914,5.0,-0.875,3.36982,4.70374,-0.956475,-0.797898,1.0,154.215,62.2719,154.212,19.2412,59.0
196.0,1.39683,0.005967,0.7358,-22.544,8.049,1.31786,2.22884,-0.518983,2.00087,4.07574,-0.738435,-0.4521,0.0,71.4304,57.6184,69.9922,20.1764,39.0
407.0,2.818492,0.440682,1.4093,-24.979,8.748,1.15926,5.0,-1.025,3.45891,4.72916,-1.10997,-0.930538,1.0,148.094,82.0103,148.094,19.4688,55.0
231.0,1.689453,0.016564,1.5161,-26.217,8.997,1.03683,4.67884,-1.03239,3.46812,4.71999,-1.10988,-0.954866,0.0,158.598,77.0061,158.588,18.96,54.0
530.0,3.683452,-0.005146,1.5509,-27.142,9.18,1.1398,1.1472,-0.605404,0.934421,1.35781,-0.718678,-0.560148,0.0,307.855,286.135,295.208,17.6795,99.0
150.0,1.132873,0.53199,1.4442,-25.168,8.371,0.922198,2.36085,-0.928331,2.17487,4.20883,-1.14105,-0.865223,0.0,144.696,115.624,143.494,19.5331,54.0
652.0,4.529266,0.379059,1.2002,-24.911,8.893,1.20538,3.67313,-0.810996,3.16102,4.65159,-0.899851,-0.752612,0.0,151.05,83.0381,151.018,19.5507,60.0
626.0,4.382103,0.81949,2.4329,-25.793,9.099,1.31994,2.12206,-0.708788,1.88747,3.8191,-0.96281,-0.634515,0.0,133.433,116.398,131.57,20.0382,62.0
183.0,1.30049,0.220337,1.2745,-24.707,8.972,1.10294,3.07797,-0.948183,2.91555,4.55939,-1.06918,-0.877567,0.0,161.809,96.655,161.451,19.7612,65.0
138.0,1.056536,-0.771464,1.2841,-24.934,8.14,0.97608,5.0,-1.2,3.70323,4.78498,-1.29009,-1.08073,1.0,149.919,88.8092,149.938,19.52,54.0
23.0,0.161078,1.24064,1.8352,-25.171,0.0,1.40856,3.6789,-1.35412,2.62185,4.57623,-1.497,-1.10267,0.0,127.281,124.554,127.265,20.1334,58.0
628.0,4.398735,-1.223622,0.805,-24.264,8.774,1.03304,2.88748,-0.942436,2.77369,4.49361,-1.0481,-0.887164,0.0,141.156,79.2618,140.544,19.094,51.0
195.0,1.380896,0.248875,0.9916,-23.941,0.0,1.29069,2.51013,-0.789036,2.37109,4.40628,-0.959744,-0.738498,0.0,144.353,107.223,143.661,19.7956,61.0
401.0,2.794822,0.508096,1.0182,-23.825,7.957,1.17111,2.63981,-0.847456,2.46905,4.38739,-1.00434,-0.777795,0.0,125.974,88.0448,125.192,19.9859,54.0
100.0,0.668537,-0.675888,0.7061,-22.447,8.175,1.09885,5.0,-1.125,3.1502,4.67016,-1.24914,-0.943209,1.0,115.48,98.8704,115.478,20.5761,54.0
356.0,2.568711,0.20769,2.2762,-27.275,9.697,1.34428,5.0,-1.3,3.51159,4.73728,-1.37856,-1.20647,1.0,365.911,269.519,365.926,18.5416,112.0
644.0,4.499319,-0.096728,1.8072,-25.36,0.0,0.849398,5.0,-1.15,3.45485,4.7202,-1.22592,-1.04869,1.0,171.119,96.1936,171.123,19.7466,60.0
512.0,3.553909,-0.350723,3.1548,-26.465,9.961,1.72237,3.48179,-0.979949,3.01489,4.62409,-1.10504,-0.835859,0.0,98.6539,71.9374,98.6126,20.1093,50.0
384.0,2.712312,-0.525903,2.053,-26.278,8.712,0.919798,5.0,-1.1,3.43959,4.72388,-1.18114,-1.00769,1.0,184.602,131.07,184.609,19.1513,62.0
693.0,4.830471,1.031178,2.3092,-27.062,0.0,1.07327,1.85035,-0.573548,1.6401,2.32401,-0.716384,-0.527564,0.0,137.484,103.346,132.986,18.6065,54.0
589.0,4.119045,1.123037,1.3963,-24.956,8.903,1.18344,2.94778,-0.669721,2.73156,4.56282,-0.797899,-0.608285,0.0,129.782,90.9224,129.645,19.7511,58.0
554.0,3.858266,0.391294,1.7488,-25.387,8.627,1.24558,1.92216,-0.497982,1.63579,2.53883,-0.683363,-0.40659,0.0,108.865,100.014,105.247,19.5333,60.0
463.0,3.2186,0.475552,1.6121,-26.506,9.375,1.0109,2.5119,-1.04136,2.37732,4.31023,-1.18897,-0.997799,0.0,165.496,131.027,164.383,18.4539,53.0
249.0,1.824262,-0.86049,0.526,-22.867,8.96,1.27262,1.91737,-0.288602,1.65718,2.39535,-0.420067,-0.223762,0.0,71.1099,57.9197,67.0606,19.4385,39.0
573.0,4.010014,-0.206959,2.0869,-27.777,0.0,1.60536,2.64782,-0.912026,2.60651,4.45614,-1.15525,-0.871781,0.0,337.409,221.039,336.624,17.68,110.0
690.0,4.820475,0.785551,1.3156,-24.45,0.0,0.985185,3.09942,-0.787725,2.9517,4.56849,-0.890462,-0.73091,0.0,149.469,68.5074,149.124,19.9593,62.0
656.0,4.537063,1.03207,1.4224,-24.702,9.444,1.3012,3.49909,-1.02522,2.98987,4.61638,-1.16673,-0.871152,0.0,104.921,77.9246,104.841,20.0488,49.0
355.0,2.567595,0.78705,1.181,-24.468,0.0,1.04177,3.31078,-0.445976,3.0537,4.61622,-0.546932,-0.381688,0.0,95.4452,29.357,95.2981,20.4754,59.0
435.0,3.011581,0.70079,0.5482,-23.301,8.437,1.1202,1.82532,-0.617669,1.60501,2.16819,-0.734678,-0.564542,0.0,161.112,125.894,156.096,18.9595,62.0
537.0,3.7399,-0.494194,1.9088,-26.287,0.0,1.45346,3.3674,-1.00432,3.09133,4.62352,-1.12567,-0.911139,0.0,164.051,105.647,163.918,19.3143,62.0
404.0,2.809265,1.158001,0.9556,-23.153,8.522,0.929656,5.0,-0.45,3.20027,4.67231,-0.522935,-0.401343,1.0,112.519,14.9681,112.533,20.1623,58.0
245.0,1.791355,0.315075,1.4309,-26.556,9.146,1.23068,5.0,-1.1,3.70369,4.7822,-1.1744,-1.01823,1.0,192.542,88.0945,192.561,18.146,61.0
