SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
000421.84+005743.6,1.091028,0.962126,0.7867,-23.399,0.371,1
000119.50+001038.0,0.331289,0.17723,1.6199,-24.735,0.065,2
000527.52-000556.2,1.364696,-0.098956,0.6125,-23.121,0.096,3
000053.17-001732.9,0.221552,-0.292485,2.7563,-26.451,-0.207,4
000107.52+004113.1,0.28137,0.686984,1.3988,-24.917,0.148,5
001025.90+005447.6,2.607954,0.913245,2.8473,-27.263,-0.026,6
000640.67+003838.2,1.669492,0.643952,1.3383,-24.427,0.163,7
001924.06-001635.0,4.850273,-0.276395,1.769,-25.251,-0.089,8
001606.24+002841.2,4.026021,0.478127,1.8725,-24.999,0.154,9
000654.10-001533.4,1.725449,-0.259281,1.7252,-27.19,0.198,10
000016.43-001833.4,0.068467,-0.309283,0.7026,-25.151,0.298,11
000209.05+000552.8,0.537709,0.098021,2.1463,-24.691,0.093,12
001542.39+001547.2,3.926662,0.263132,2.4301,-25.568,-0.021,13
001611.08-001512.4,4.0462,-0.253447,1.5766,-25.497,0.56,14
001527.82-003527.4,3.865938,-0.590953,1.0488,-24.352,0.012,15
001543.73-002648.1,3.932215,-0.44671,1.3006,-24.383,0.299,16
001602.63-002035.5,4.010978,-0.34321,2.2491,-26.295,0.525,17
001005.04+005141.4,2.521021,0.861517,1.6711,-25.144,0.853,18
001526.52+001813.2,3.860528,0.303667,1.362,-24.985,-0.237,19
001841.81-010832.6,4.674216,-1.142395,0.782,-22.752,0.1,20
001854.25-010202.2,4.726053,-1.033959,1.9323,-25.562,0.074,21
000442.18+000023.3,1.175791,0.006482,1.0077,-24.719,-0.022,22
001720.93-001225.4,4.337229,-0.207058,1.3097,-24.961,-0.089,23
001824.12-010007.9,4.600524,-1.002214,1.8665,-25.253,0.087,24
001426.96-000306.7,3.612357,-0.051877,1.177,-25.253,-0.058,25
000535.23+000021.4,1.39683,0.005967,0.7358,-22.544,0.162,26
001116.43+002626.4,2.818492,0.440682,1.4093,-24.979,-0.058,27
000645.46+000059.6,1.689453,0.016564,1.5161,-26.217,-0.101,28
001444.02-000018.5,3.683452,-0.005146,1.5509,-27.142,-0.02,29
000431.88+003155.1,1.132873,0.53199,1.4442,-25.168,0.082,30
001807.02+002244.6,4.529266,0.379059,1.2002,-24.911,0.015,31
001731.70+004910.1,4.382103,0.81949,2.4329,-25.793,0.004,32
000512.11+001313.2,1.30049,0.220337,1.2745,-24.707,0.189,33
000413.56-004617.2,1.056536,-0.771464,1.2841,-24.934,-0.003,34
000038.65+011426.3,0.161078,1.24064,1.8352,-25.171,0.063,35
001735.69-011325.0,4.398735,-1.223622,0.805,-24.264,0.036,36
000531.41+001455.9,1.380896,0.248875,0.9916,-23.941,0.512,37
001110.75+003029.1,2.794822,0.508096,1.0182,-23.825,0.072,38
000240.44-004033.1,0.668537,-0.675888,0.7061,-22.447,-0.153,39
001016.49+001227.6,2.568711,0.20769,2.2762,-27.275,0.272,40
001759.83-000548.2,4.499319,-0.096728,1.8072,-25.36,0.022,41
001412.93-002102.6,3.553909,-0.350723,3.1548,-26.465,0.49,42
001050.95-003133.2,2.712312,-0.525903,2.053,-26.278,0.098,43
001919.31+010152.2,4.830471,1.031178,2.3092,-27.062,0.065,44
001628.57+010722.9,4.119045,1.123037,1.3963,-24.956,-9.0,45
001525.98+002328.6,3.858266,0.391294,1.7488,-25.387,0.139,46
001252.46+002831.9,3.2186,0.475552,1.6121,-26.506,0.034,47
000717.82-005137.7,1.824262,-0.86049,0.526,-22.867,0.024,48
001602.40-001225.0,4.010014,-0.206959,2.0869,-27.777,0.361,49
001916.91+004707.9,4.820475,0.785551,1.3156,-24.45,0.239,50
001808.89+010155.4,4.537063,1.03207,1.4224,-24.702,0.37,51
001016.22+004713.3,2.567595,0.78705,1.181,-24.468,-0.122,52
001202.77+004202.8,3.011581,0.70079,0.5482,-23.301,-0.047,53
001457.57-002939.0,3.7399,-0.494194,1.9088,-26.287,0.256,54
001114.22+010928.8,2.809265,1.158001,0.9556,-23.153,-0.11,55
000709.92+001854.2,1.791355,0.315075,1.4309,-26.556,-0.027,56
000938.48-003949.7,2.410365,-0.663824,2.2539,-26.1,0.058,57
000014.82-011030.6,0.061778,-1.175193,1.8902,-26.149,-0.083,58
001927.17+003539.0,4.863219,0.594189,1.2889,-25.517,0.238,59
000054.96+010143.4,0.229006,1.028726,1.4622,-25.487,0.23,60
000149.33+005731.6,0.455552,0.958797,1.2049,-23.976,-0.07,61
