subject,run,state,rec,R
S001,R01,eyes_open,S001R01,0.8111191485460526
S001,R02,eyes_closed,S001R02,0.8934407111346967
S001,R03,task,S001R03,0.8452434890048838
S001,R04,task,S001R04,0.8463838997980423
S001,R05,task,S001R05,0.8309501793675415
S001,R06,task,S001R06,0.7551560804930681
S001,R07,task,S001R07,0.8763419314790665
S001,R08,task,S001R08,0.7386375625583642
S001,R09,task,S001R09,0.8419736568078392
S001,R10,task,S001R10,0.7973431780185853
S001,R11,task,S001R11,0.7648029076471993
S001,R12,task,S001R12,0.8212875752341801
S001,R13,task,S001R13,0.7142022886449234
S001,R14,task,S001R14,0.8831589609014017
S002,R01,eyes_open,S002R01,0.7932108462354891
S002,R02,eyes_closed,S002R02,0.9595745772237924
S002,R03,task,S002R03,0.8142066356610033
S002,R04,task,S002R04,0.6840329170053633
S002,R05,task,S002R05,0.776063592287045
S002,R06,task,S002R06,0.8618729184753556
S002,R07,task,S002R07,0.8751359907965454
S002,R08,task,S002R08,0.7064275474534943
S002,R09,task,S002R09,0.8213557888873207
S002,R10,task,S002R10,0.8564900751945796
S002,R11,task,S002R11,0.6815079474250678
S002,R12,task,S002R12,0.8297796526783519
S002,R13,task,S002R13,0.8151598921657365
S002,R14,task,S002R14,0.8594645179346103
S003,R01,eyes_open,S003R01,0.6233108343645477
S003,R02,eyes_closed,S003R02,1.0786455053330481
S003,R03,task,S003R03,0.6870817816802257
S003,R04,task,S003R04,0.7663503427066904
S003,R05,task,S003R05,0.7105067203175851
S003,R06,task,S003R06,0.7714320807098284
S003,R07,task,S003R07,0.7292326230303536
S003,R08,task,S003R08,0.8171581420990341
S003,R09,task,S003R09,0.7721565593136094
S003,R10,task,S003R10,0.7604123943925511
S003,R11,task,S003R11,0.7939849151067637
S003,R12,task,S003R12,0.7637629760728194
S003,R13,task,S003R13,0.7331991307005298
S003,R14,task,S003R14,0.7237612438195353
S004,R01,eyes_open,S004R01,0.6931488799044933
S004,R02,eyes_closed,S004R02,1.1110062875307112
S004,R03,task,S004R03,0.6510921984288169
S004,R04,task,S004R04,0.7020809329153056
S004,R05,task,S004R05,0.6196618618228243
S004,R06,task,S004R06,0.7165523074874769
S004,R07,task,S004R07,0.6216928567052099
S004,R08,task,S004R08,0.661381527092956
S004,R09,task,S004R09,0.7603780672497058
S004,R10,task,S004R10,0.7913894159049241
S004,R11,task,S004R11,0.6670149901028315
S004,R12,task,S004R12,0.678700719982624
S004,R13,task,S004R13,0.789229334219409
S004,R14,task,S004R14,0.8497140951316667
S005,R01,eyes_open,S005R01,0.851574761772781
S005,R02,eyes_closed,S005R02,0.7279710919231293
S005,R03,task,S005R03,0.6597996611274914
S005,R04,task,S005R04,0.7262186341349857
S005,R05,task,S005R05,0.7615700689061519
S005,R06,task,S005R06,0.6703610880918467
S005,R07,task,S005R07,0.7566924538527289
S005,R08,task,S005R08,0.7199906258659038
S005,R09,task,S005R09,0.6903511771460352
S005,R10,task,S005R10,0.6347331258112419
S005,R11,task,S005R11,0.8134153551158854
S005,R12,task,S005R12,0.6986908573278762
S005,R13,task,S005R13,0.6692757472861616
S005,R14,task,S005R14,0.7787677041337606
S006,R01,eyes_open,S006R01,0.5913407422315684
S006,R02,eyes_closed,S006R02,0.6074131837825412
S006,R03,task,S006R03,0.6545119284609648
S006,R04,task,S006R04,0.6680875419503581
S006,R05,task,S006R05,0.8711696857963852
S006,R06,task,S006R06,0.6126514982481858
S006,R07,task,S006R07,0.7899474726001664
S006,R08,task,S006R08,0.6977728628632703
S006,R09,task,S006R09,0.60315402767911
S006,R10,task,S006R10,0.7180941753378245
S006,R11,task,S006R11,0.7302802765698674
S006,R12,task,S006R12,0.7865635804960911
S006,R13,task,S006R13,0.6882227055682326
S006,R14,task,S006R14,0.7662351262610022
S007,R01,eyes_open,S007R01,0.7120173685557468
S007,R02,eyes_closed,S007R02,0.8648485723190042
S007,R03,task,S007R03,0.7825941081126859
S007,R04,task,S007R04,0.8434734386035987
S007,R05,task,S007R05,0.6860413721039013
S007,R06,task,S007R06,0.8984006176010148
S007,R07,task,S007R07,0.7820381038591947
S007,R08,task,S007R08,0.8324689443190414
S007,R09,task,S007R09,0.840826342917532
S007,R10,task,S007R10,0.7771443449482495
S007,R11,task,S007R11,0.7558850432898703
S007,R12,task,S007R12,0.8347214881681523
S007,R13,task,S007R13,0.8142350725843209
S007,R14,task,S007R14,0.8151417463886643
S008,R01,eyes_open,S008R01,0.7523282947391486
S008,R02,eyes_closed,S008R02,0.9692782018535554
S008,R03,task,S008R03,0.7899750486554777
S008,R04,task,S008R04,0.8425220995574705
S008,R05,task,S008R05,0.7462493069623962
S008,R06,task,S008R06,0.8008532175232623
S008,R07,task,S008R07,0.7760920080963822
S008,R08,task,S008R08,0.6910827070276288
S008,R09,task,S008R09,0.7136390393070701
S008,R10,task,S008R10,0.7359916399295262
S008,R11,task,S008R11,0.7622572220259031
