subject,run,state,rec,R
S001,R01,eyes_open,S001R01,0.7001288409833407
S001,R02,eyes_closed,S001R02,0.7300457062369042
S001,R03,task,S001R03,0.7051224977364853
S001,R04,task,S001R04,0.7329524923587719
S001,R05,task,S001R05,0.864992837731423
S001,R06,task,S001R06,0.8734489173036999
S001,R07,task,S001R07,0.6707205041218153
S001,R08,task,S001R08,0.6735885024690467
S001,R09,task,S001R09,0.7830968765285962
S001,R10,task,S001R10,0.8634284405919099
S001,R11,task,S001R11,0.6566931656811306
S001,R12,task,S001R12,0.6464263220268396
S001,R13,task,S001R13,0.7548625072494961
S001,R14,task,S001R14,0.8626899969047999
S002,R01,eyes_open,S002R01,0.6590544190693162
S002,R02,eyes_closed,S002R02,0.8060539636106921
S002,R03,task,S002R03,0.9688748126412714
S002,R04,task,S002R04,0.7008703390396036
S002,R05,task,S002R05,0.7990949027703268
S002,R06,task,S002R06,0.903226645361045
S002,R07,task,S002R07,0.9266378528143223
S002,R08,task,S002R08,0.6487186256743931
S002,R09,task,S002R09,0.9754049209650346
S002,R10,task,S002R10,0.9660340601969127
S002,R11,task,S002R11,0.9567629474706749
S002,R12,task,S002R12,0.9325076528391405
S002,R13,task,S002R13,0.9132779560639129
S002,R14,task,S002R14,1.0325798688574201
S003,R01,eyes_open,S003R01,0.5615701336853671
S003,R02,eyes_closed,S003R02,0.8522196383717493
S003,R03,task,S003R03,0.7494237335081649
S003,R04,task,S003R04,0.641625576938249
S003,R05,task,S003R05,0.6849099232707602
S003,R06,task,S003R06,0.9588868723354956
S003,R07,task,S003R07,0.6689597377555766
S003,R08,task,S003R08,0.7405114015590327
S003,R09,task,S003R09,0.6761707557467761
S003,R10,task,S003R10,0.726150086731336
S003,R11,task,S003R11,0.7740142936474254
S003,R12,task,S003R12,0.8382691401846235
S003,R13,task,S003R13,0.7084696409232877
S003,R14,task,S003R14,0.5529050850853398
S004,R01,eyes_open,S004R01,0.5409154935652655
S004,R02,eyes_closed,S004R02,0.9401173367029586
S004,R03,task,S004R03,0.714572952724154
S004,R04,task,S004R04,0.5788257624291719
S004,R05,task,S004R05,0.6647289923695016
S004,R06,task,S004R06,0.7111549239165733
S004,R07,task,S004R07,0.6989536325639161
S004,R08,task,S004R08,0.6572311058640046
S004,R09,task,S004R09,0.7683552714321773
S004,R10,task,S004R10,0.7271494537232023
S004,R11,task,S004R11,0.6832119939029743
S004,R12,task,S004R12,0.5947052917237744
S004,R13,task,S004R13,0.6705807622715542
S004,R14,task,S004R14,0.7219275765451091
S005,R01,eyes_open,S005R01,0.9714819878780857
S005,R02,eyes_closed,S005R02,0.9131365814930228
S005,R03,task,S005R03,0.8069673107287451
S005,R04,task,S005R04,0.7455101144008199
S005,R05,task,S005R05,0.8028408154132906
S005,R06,task,S005R06,0.8990324023852698
S005,R07,task,S005R07,0.6864256895443287
S005,R08,task,S005R08,0.863640933732699
S005,R09,task,S005R09,0.9194303279534577
S005,R10,task,S005R10,0.8235096149459235
S005,R11,task,S005R11,0.6899288923618936
S005,R12,task,S005R12,0.8748456646964242
S005,R13,task,S005R13,0.802506687795778
S005,R14,task,S005R14,0.7581657505803407
S006,R01,eyes_open,S006R01,0.8273511539037252
S006,R02,eyes_closed,S006R02,0.5617125419668667
S006,R03,task,S006R03,0.5295132371734135
S006,R04,task,S006R04,0.6287937134834728
S006,R05,task,S006R05,0.5706243212294279
S006,R06,task,S006R06,0.86661323583242
S006,R07,task,S006R07,0.9241627205487167
S006,R08,task,S006R08,0.7836666014148056
S006,R09,task,S006R09,0.5194262439172582
S006,R10,task,S006R10,0.8969713707398249
S006,R11,task,S006R11,0.8313087505335928
S006,R12,task,S006R12,0.63208125286643
S006,R13,task,S006R13,0.5718037607104384
S006,R14,task,S006R14,0.8984671463702122
S007,R01,eyes_open,S007R01,0.9432365929684515
S007,R02,eyes_closed,S007R02,0.9142131858358697
S007,R03,task,S007R03,0.6989864240879267
S007,R04,task,S007R04,0.747225348559203
S007,R05,task,S007R05,0.7726623886312843
S007,R06,task,S007R06,0.8650540556797425
S007,R07,task,S007R07,0.6340781354283089
S007,R08,task,S007R08,0.8416150230928092
S007,R09,task,S007R09,0.998776643803769
S007,R10,task,S007R10,0.9819191707982438
S007,R11,task,S007R11,0.9184056190761407
S007,R12,task,S007R12,1.0115282831626096
S007,R13,task,S007R13,0.9832224574925461
S007,R14,task,S007R14,0.9534673795918189
S008,R01,eyes_open,S008R01,0.6566293919060737
S008,R02,eyes_closed,S008R02,0.6664633119114484
S008,R03,task,S008R03,0.8939888765595866
S008,R04,task,S008R04,0.600542379759743
