coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
0.027_0.515,000006.53+003055.2,1.0,0.027228,0.515349,0.027228,0.515349,0.0,1.8227,1.8227,-25.1,-25.1,0.0,0.937474,2.70599,-0.819334,19.9315,57.0,0.098,153,2.55839,4.38588,-0.94823,-0.755445,0.0,133.133,98.2203,132.237
0.034_0.276,000008.13+001634.6,2.0,0.033898,0.276304,0.033898,0.276304,0.0,1.8365,1.8365,-25.738,-25.738,0.0,1.49522,2.5477,-0.847452,19.4671,64.0,0.421,403,2.37483,4.27624,-1.00716,-0.783542,0.0,158.031,127.753,156.89
0.050_0.040,000011.96+000225.3,7.0,0.049842,0.040372,0.049842,0.040372,0.0,0.479,0.479,-24.046,-24.046,8.369,1.06391,1.44799,-0.537564,17.7661,55.0,-0.115,81,1.17611,1.7515,-0.640046,-0.483067,0.0,150.991,139.641,143.906
0.051_-0.539,000012.25-003220.5,8.0,0.051076,-0.539049,0.051076,-0.539049,0.0,1.4365,1.4365,-24.529,-24.529,8.51,1.05378,2.62331,-0.793768,20.1655,63.0,0.282,362,2.49305,4.33392,-0.924074,-0.739103,0.0,146.356,82.5119,145.284
0.058_-0.913,000013.80-005446.8,10.0,0.057505,-0.913004,0.057505,-0.913004,0.0,1.8361,1.8361,-25.648,-25.648,0.0,1.51789,2.60224,-0.876303,19.5486,62.0,0.305,112,2.41497,4.38684,-1.07774,-0.800802,0.0,150.528,117.882,149.759
0.062_-1.175,000014.82-011030.6,11.0,0.061778,-1.175193,0.061778,-1.175193,0.0,1.8902,1.8902,-26.149,-26.149,8.788,1.06505,5.0,-0.975,19.2301,57.0,-0.083,58,3.26692,4.68483,-1.07097,-0.885183,1.0,153.702,93.0568,153.697
0.064_0.880,000015.47+005246.8,12.0,0.064492,0.87968,0.064492,0.87968,0.0,1.8476,1.8476,-26.017,-26.017,9.414,0.860417,5.0,-1.025,19.2158,56.0,0.104,155,3.40247,4.71185,-1.09289,-0.944634,1.0,163.77,87.1822,163.773
0.068_-0.309,000016.43-001833.4,13.0,0.068467,-0.309283,0.068467,-0.309283,0.0,0.7026,0.7026,-25.151,-25.151,8.664,1.22283,2.34153,-0.777769,17.8107,56.0,0.298,11,2.18854,4.21877,-0.95241,-0.748863,0.0,159.723,133.226,158.414
0.075_0.437,000017.88+002612.6,15.0,0.07453,0.436845,0.07453,0.436845,0.0,0.5459,0.5459,-22.667,-22.667,8.444,1.14456,0.916537,-0.260598,19.6148,38.0,0.146,116,0.371474,2.22538,-0.942381,-0.033203,0.0,81.1002,79.043,77.6745
0.127_-0.459,000030.37-002732.4,19.0,0.126576,-0.459005,0.126576,-0.459005,0.0,1.803,1.803,-25.368,-25.368,0.0,1.50808,3.11212,-0.955645,19.6639,64.0,0.097,282,2.93253,4.56749,-1.07297,-0.877317,0.0,158.824,102.43,158.507
0.133_1.051,000031.86+010305.2,20.0,0.13278,1.051468,0.13278,1.051468,0.0,1.0925,1.0925,-24.394,-24.394,8.153,1.94152,2.96334,-0.97017,19.401,111.0,0.284,212,2.74366,4.52358,-1.11171,-0.867175,0.0,262.507,203.481,262.152
0.136_-0.920,000032.70-005512.9,21.0,0.136254,-0.920266,0.136254,-0.920266,0.0,1.5247,1.5247,-25.229,-25.229,8.563,1.19512,2.41943,-0.852413,19.6524,63.0,-0.12,309,2.25133,4.15904,-1.01903,-0.794639,0.0,158.098,114.879,156.682
0.161_1.241,000038.65+011426.3,23.0,0.161078,1.24064,0.161078,1.24064,0.0,1.8352,1.8352,-25.171,-25.171,0.0,1.40856,3.6789,-1.35412,20.1334,58.0,0.063,35,2.62185,4.57623,-1.497,-1.10267,0.0,127.281,124.554,127.265
0.162_-0.301,000038.99-001803.9,24.0,0.162498,-0.301102,0.162498,-0.301102,0.0,2.1224,2.1224,-26.673,-26.673,9.606,1.06112,4.86667,-1.15,18.9135,54.0,-0.004,192,3.32742,4.6923,-1.23167,-1.04369,1.0,164.755,108.283,164.757
0.173_1.096,000041.58+010545.5,25.0,0.173268,1.095974,0.173268,1.095974,0.0,1.5452,1.5452,-24.669,-24.669,0.0,1.42502,4.09867,-1.04327,20.1262,60.0,-0.067,324,3.16771,4.66246,-1.14744,-0.896657,0.0,123.176,102.748,123.173
0.175_-0.750,000042.02-004501.3,26.0,0.175095,-0.750388,0.175095,-0.750388,0.0,1.3077,1.3077,-24.504,-24.504,0.0,1.44728,3.19903,-0.684236,19.8843,56.0,0.089,353,2.9535,4.59752,-0.798592,-0.608159,0.0,116.728,83.3383,116.579
0.179_0.928,000042.89+005539.5,27.0,0.178746,0.92766,0.178746,0.92766,0.0,0.9512,0.9512,-25.763,-25.763,8.983,1.04431,5.0,-1.025,18.1092,57.0,0.141,224,3.45614,4.72702,-1.10104,-0.954546,1.0,175.537,91.1386,175.533
0.182_-0.230,000043.70-001346.2,28.0,0.182121,-0.229501,0.182121,-0.229501,0.0,2.1938,2.1938,-25.447,-25.447,0.0,0.933745,2.61461,-0.988462,20.0803,56.0,0.577,432,2.47265,4.389,-1.16739,-0.916908,0.0,138.246,108.198,137.393
0.192_-0.502,000046.15-003007.1,30.0,0.192318,-0.501993,0.192318,-0.501993,0.0,1.4354,1.4354,-25.16,-25.16,9.068,1.18037,5.0,-0.85,19.7097,61.0,-0.18,264,3.60461,4.76238,-0.943008,-0.769314,1.0,149.293,52.3282,149.315
0.193_1.239,000046.41+011420.8,31.0,0.193415,1.239118,0.193415,1.239118,0.0,3.7592,3.7592,-27.073,-27.073,0.0,1.31678,3.16255,-1.65442,19.7478,60.0,0.397,386,1.47114,4.35831,-1.89185,-1.07182,0.0,155.059,152.728,154.906
0.215_0.201,000051.56+001202.5,34.0,0.214856,0.20071,0.214856,0.20071,0.0,3.8806,3.8806,-26.851,-26.851,0.0,1.29512,5.0,-1.1,19.9023,50.0,0.712,434,3.04981,4.65472,-1.19307,-0.935924,1.0,121.69,96.1417,121.696
0.221_-0.620,000053.09-003712.8,35.0,0.22122,-0.620238,0.22122,-0.620238,0.0,1.3201,1.3201,-25.879,-25.879,9.026,1.31831,3.19594,-0.988746,18.6492,64.0,-0.258,137,2.96699,4.59941,-1.08637,-0.935004,0.0,187.133,122.27,186.986
