eta,lambdaR,final_mean_s,total_prunes,regime
4.000000000000000222e-01,1.000000000000000056e-01,5.000975527886447614e-01,5.525013900000000000e+07,1.000000000000000000e+00
4.000000000000000222e-01,1.499999999999999944e-01,5.001067666101695064e-01,5.525013900000000000e+07,1.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000111e-01,5.001236647353693998e-01,5.525013900000000000e+07,1.000000000000000000e+00
4.000000000000000222e-01,2.500000000000000000e-01,5.001465925864957418e-01,5.525013900000000000e+07,1.000000000000000000e+00
4.000000000000000222e-01,2.999999999999999889e-01,5.001715717240062808e-01,5.525013900000000000e+07,1.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000056e-01,4.999328636079455324e-01,3.853272000000000000e+07,1.000000000000000000e+00
5.000000000000000000e-01,1.499999999999999944e-01,4.999756887150005324e-01,3.853272000000000000e+07,1.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000111e-01,5.000276665256153663e-01,3.853272000000000000e+07,1.000000000000000000e+00
5.000000000000000000e-01,2.500000000000000000e-01,5.000796876007640446e-01,3.853272000000000000e+07,1.000000000000000000e+00
5.000000000000000000e-01,2.999999999999999889e-01,5.001280226014972463e-01,3.853272000000000000e+07,1.000000000000000000e+00
5.500000000000000444e-01,1.000000000000000056e-01,5.001474749155145894e-01,3.146364900000000000e+07,1.000000000000000000e+00
5.500000000000000444e-01,1.499999999999999944e-01,5.001583007108255652e-01,3.146364900000000000e+07,1.000000000000000000e+00
5.500000000000000444e-01,2.000000000000000111e-01,5.001840392281530212e-01,3.146364900000000000e+07,1.000000000000000000e+00
5.500000000000000444e-01,2.500000000000000000e-01,5.002129753886671581e-01,3.146364900000000000e+07,1.000000000000000000e+00
5.500000000000000444e-01,2.999999999999999889e-01,5.002396818958961822e-01,3.146364900000000000e+07,1.000000000000000000e+00
5.999999999999999778e-01,1.000000000000000056e-01,5.000449251920989768e-01,2.529740300000000000e+07,1.000000000000000000e+00
5.999999999999999778e-01,1.499999999999999944e-01,5.000884475279031571e-01,2.529740300000000000e+07,1.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000111e-01,5.001419268907393301e-01,2.529740300000000000e+07,1.000000000000000000e+00
5.999999999999999778e-01,2.500000000000000000e-01,5.001811992451656863e-01,2.529740300000000000e+07,1.000000000000000000e+00
5.999999999999999778e-01,2.999999999999999889e-01,5.002152694825378054e-01,2.529740300000000000e+07,1.000000000000000000e+00
6.999999999999999556e-01,1.000000000000000056e-01,5.003788761130080198e-01,1.559233700000000000e+07,1.000000000000000000e+00
6.999999999999999556e-01,1.499999999999999944e-01,5.002894936356208078e-01,1.559233700000000000e+07,1.000000000000000000e+00
6.999999999999999556e-01,2.000000000000000111e-01,5.002384074133923164e-01,1.559233700000000000e+07,1.000000000000000000e+00
6.999999999999999556e-01,2.500000000000000000e-01,5.001972167174826289e-01,1.559233700000000000e+07,1.000000000000000000e+00
6.999999999999999556e-01,2.999999999999999889e-01,5.001652998268831807e-01,1.559233700000000000e+07,1.000000000000000000e+00
